rowid,brainfield,ENSEMBL,SYMBOL,GENENAME,MAP,ENTREZID,BIOSOURCE_POSITION,GENETYPE,LOCUS,DESCRIPTION,SUMMARY,gene_family
13546,ENSG00000125869,ENSG00000125869,LAMP5,lysosomal associated membrane protein family member 5,20p12.2,24141,20,protein-coding,LAMP5,lysosomal associated membrane protein family member 5,NA,Other Membrane Protein
14726,ENSG00000204655,ENSG00000204655,MOG,myelin oligodendrocyte glycoprotein,6p22.1,4340,6,protein-coding,MOG,myelin oligodendrocyte glycoprotein,"The product of this gene is a membrane protein expressed on the oligodendrocyte cell surface and the outermost surface of myelin sheaths. Due to this localization, it is a primary target antigen involved in immune-mediated demyelination. This protein may be involved in completion and maintenance of the myelin sheath and in cell-cell communication. Alternatively spliced transcript variants encoding different isoforms have been identified. [provided by RefSeq, Jul 2008]",Other Membrane Protein
10004,ENSG00000169116,ENSG00000169116,PARM1,prostate androgen-regulated mucin-like protein 1,4q13.3,25849,4,protein-coding,PARM1,prostate androgen-regulated mucin-like protein 1,NA,Other Membrane Protein
6178,ENSG00000080815,ENSG00000080815,PSEN1,presenilin 1,14q24.2,5663,14,protein-coding,PSEN1,presenilin 1,"Alzheimer's disease (AD) patients with an inherited form of the disease carry mutations in the presenilin proteins (PSEN1; PSEN2) or in the amyloid precursor protein (APP). These disease-linked mutations result in increased production of the longer form of amyloid-beta (main component of amyloid deposits found in AD brains). Presenilins are postulated to regulate APP processing through their effects on gamma-secretase, an enzyme that cleaves APP. Also, it is thought that the presenilins are involved in the cleavage of the Notch receptor, such that they either directly regulate gamma-secretase activity or themselves are protease enzymes. Several alternatively spliced transcript variants encoding different isoforms have been identified for this gene, the full-length nature of only some have been determined. [provided by RefSeq, Aug 2008]",Other Membrane Protein
9635,ENSG00000143801,ENSG00000143801,PSEN2,presenilin 2,1q42.13,5664,1,protein-coding,PSEN2,presenilin 2,"Alzheimer's disease (AD) patients with an inherited form of the disease carry mutations in the presenilin proteins (PSEN1 or PSEN2) or the amyloid precursor protein (APP). These disease-linked mutations result in increased production of the longer form of amyloid-beta (main component of amyloid deposits found in AD brains). Presenilins are postulated to regulate APP processing through their effects on gamma-secretase, an enzyme that cleaves APP. Also, it is thought that the presenilins are involved in the cleavage of the Notch receptor such that, they either directly regulate gamma-secretase activity, or themselves act are protease enzymes. Two alternatively spliced transcript variants encoding different isoforms of PSEN2 have been identified. [provided by RefSeq, Jul 2008]",Other Membrane Protein
15133,ENSG00000167619,ENSG00000167619,TMEM145,transmembrane protein 145,19q13.2,284339,19,protein-coding,TMEM145,transmembrane protein 145,NA,Other Membrane Protein
17653,ENSG00000176697,ENSG00000176697,BDNF,brain derived neurotrophic factor,11p14.1,627,11,protein-coding,BDNF,brain derived neurotrophic factor,"This gene encodes a member of the nerve growth factor family of proteins. Alternative splicing results in multiple transcript variants, at least one of which encodes a preproprotein that is proteolytically processed to generate the mature protein. Binding of this protein to its cognate receptor promotes neuronal survival in the adult brain. Expression of this gene is reduced in Alzheimer's, Parkinson's, and Huntington's disease patients. This gene may play a role in the regulation of the stress response and in the biology of mood disorders. [provided by RefSeq, Nov 2015]",Peptide Ligand
14574,ENSG00000144119,ENSG00000144119,C1QL2,complement C1q like 2,2q14.2,165257,2,protein-coding,C1QL2,complement C1q like 2,NA,Peptide Ligand
14611,ENSG00000187094,ENSG00000187094,CCK,cholecystokinin,3p22.1,885,3,protein-coding,CCK,cholecystokinin,"This gene encodes a member of the gastrin/cholecystokinin family of proteins. The encoded preproprotein is proteolytically processed to generate multiple protein products, including the peptide hormones cholecystokinin-8, -12, -33, and others. The encoded peptides have been shown to regulate gastric acid secretion and food intake. A sulfated form of cholecystokinin-8 may modulate neuronal activity in the brain. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Nov 2015]",Peptide Ligand
18337,ENSG00000147571,ENSG00000147571,CRH,corticotropin releasing hormone,8q13.1,1392,8,protein-coding,CRH,corticotropin releasing hormone,"This gene encodes a member of the corticotropin-releasing factor family. The encoded preproprotein is proteolytically processed to generate the mature neuropeptide hormone. In response to stress, this hormone is secreted by the paraventricular nucleus (PVN) of the hypothalamus, binds to corticotropin releasing hormone receptors and stimulates the release of adrenocorticotropic hormone from the pituitary gland. Marked reduction in this protein has been observed in association with Alzheimer's disease. Autosomal recessive hypothalamic corticotropin deficiency has multiple and potentially fatal metabolic consequences including hypoglycemia and hepatitis. In addition to production in the hypothalamus, this protein is also synthesized in peripheral tissues, such as T lymphocytes, and is highly expressed in the placenta. In the placenta it is a marker that determines the length of gestation and the timing of parturition and delivery. A rapid increase in circulating levels of the hormone occurs at the onset of parturition, suggesting that, in addition to its metabolic functions, this protein may act as a trigger for parturition. [provided by RefSeq, Nov 2015]",Peptide Ligand
10291,ENSG00000118523,ENSG00000118523,CTGF,connective tissue growth factor,6q23.2,1490,6,protein-coding,CCN2,cellular communication network factor 2,"The protein encoded by this gene is a mitogen that is secreted by vascular endothelial cells. The encoded protein plays a role in chondrocyte proliferation and differentiation, cell adhesion in many cell types, and is related to platelet-derived growth factor. Certain polymorphisms in this gene have been linked with a higher incidence of systemic sclerosis. [provided by RefSeq, Nov 2009]",Peptide Ligand
10161,ENSG00000145824,ENSG00000145824,CXCL14,C-X-C motif chemokine ligand 14,5q31.1,9547,5,protein-coding,CXCL14,C-X-C motif chemokine ligand 14,"This antimicrobial gene belongs to the cytokine gene family which encode secreted proteins involved in immunoregulatory and inflammatory processes. The protein encoded by this gene is structurally related to the CXC (Cys-X-Cys) subfamily of cytokines. Members of this subfamily are characterized by two cysteines separated by a single amino acid. This cytokine displays chemotactic activity for monocytes but not for lymphocytes, dendritic cells, neutrophils or macrophages. It has been implicated that this cytokine is involved in the homeostasis of monocyte-derived macrophages rather than in inflammation. [provided by RefSeq, Sep 2014]",Peptide Ligand
14763,ENSG00000122585,ENSG00000122585,NPY,neuropeptide Y,7p15.3,4852,7,protein-coding,NPY,neuropeptide Y,"This gene encodes a neuropeptide that is widely expressed in the central nervous system and influences many physiological processes, including cortical excitability, stress response, food intake, circadian rhythms, and cardiovascular function. The neuropeptide functions through G protein-coupled receptors to inhibit adenylyl cyclase, activate mitogen-activated protein kinase (MAPK), regulate intracellular calcium levels, and activate potassium channels. A polymorphism in this gene resulting in a change of leucine 7 to proline in the signal peptide is associated with elevated cholesterol levels, higher alcohol consumption, and may be a risk factor for various metabolic and cardiovascular diseases. The protein also exhibits antimicrobial activity against bacteria and fungi. [provided by RefSeq, Oct 2014]",Peptide Ligand
18307,ENSG00000101327,ENSG00000101327,PDYN,prodynorphin,20p13,5173,20,protein-coding,PDYN,prodynorphin,"The protein encoded by this gene is a preproprotein that is proteolytically processed to form the secreted opioid peptides beta-neoendorphin, dynorphin, leu-enkephalin, rimorphin, and leumorphin. These peptides are ligands for the kappa-type of opioid receptor. Dynorphin is involved in modulating responses to several psychoactive substances, including cocaine. Multiple alternatively spliced transcript variants encoding the same protein have been found for this gene. [provided by RefSeq, Jul 2010]",Peptide Ligand
13383,ENSG00000181195,ENSG00000181195,PENK,proenkephalin,8q12.1,5179,8,protein-coding,PENK,proenkephalin,"This gene encodes a preproprotein that is proteolytically processed to generate multiple protein products. These products include the pentapeptide opioids Met-enkephalin and Leu-enkephalin, which are stored in synaptic vesicles, then released into the synapse where they bind to mu- and delta-opioid receptors to modulate the perception of pain. Other non-opioid cleavage products may function in distinct biological activities. [provided by RefSeq, Jul 2015]",Peptide Ligand
17968,ENSG00000168081,ENSG00000168081,PNOC,prepronociceptin,8p21.1,5368,8,protein-coding,PNOC,prepronociceptin,"This gene encodes a preproprotein that is proteolytically processed to generate multiple protein products. These products include nociceptin, nocistatin, and orphanin FQ2 (OFQ2). Nociceptin, also known as orphanin FQ, is a 17-amino acid neuropeptide that binds to the nociceptin receptor to induce increased pain sensitivity, and may additionally regulate body temperature, learning and memory, and hunger. Another product of the encoded preproprotein, nocistatin, may inhibit the effects of nociceptin. [provided by RefSeq, Jul 2015]",Peptide Ligand
14644,ENSG00000157005,ENSG00000157005,SST,somatostatin,3q27.3,6750,3,protein-coding,SST,somatostatin,"The hormone somatostatin has active 14 aa and 28 aa forms that are produced by alternate cleavage of the single preproprotein encoded by this gene. Somatostatin is expressed throughout the body and inhibits the release of numerous secondary hormones by binding to high-affinity G-protein-coupled somatostatin receptors. This hormone is an important regulator of the endocrine system through its interactions with pituitary growth hormone, thyroid stimulating hormone, and most hormones of the gastrointestinal tract. Somatostatin also affects rates of neurotransmission in the central nervous system and proliferation of both normal and tumorigenic cells. [provided by RefSeq, Jul 2008]",Peptide Ligand
12771,ENSG00000006128,ENSG00000006128,TAC1,tachykinin precursor 1,7q21.3,6863,7,protein-coding,TAC1,tachykinin precursor 1,"This gene encodes four products of the tachykinin peptide hormone family, substance P and neurokinin A, as well as the related peptides, neuropeptide K and neuropeptide gamma. These hormones are thought to function as neurotransmitters which interact with nerve receptors and smooth muscle cells. They are known to induce behavioral responses and function as vasodilators and secretagogues. Substance P is an antimicrobial peptide with antibacterial and antifungal properties. Multiple transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Nov 2014]",Peptide Ligand
14946,ENSG00000166863,ENSG00000166863,TAC3,tachykinin 3,12q13.3,6866,12,protein-coding,TAC3,tachykinin 3,"This gene encodes a member of the tachykinin family of secreted neuropeptides. The encoded preproprotein is proteolytically processed to generate the mature peptide, which is primarily expressed in the central and peripheral nervous systems and functions as a neurotransmitter. This peptide is the ligand for the neurokinin-3 receptor. This protein is also expressed in the outer syncytiotrophoblast of the placenta and may be associated with pregnancy-induced hypertension and pre-eclampsia. Mutations in this gene are associated with normosmic hypogonadotropic hypogonadism. Alternative splicing results in multiple transcript variants, at least one of which encodes an isoform that is proteolytically processed. [provided by RefSeq, Feb 2016]",Peptide Ligand
14754,ENSG00000146469,ENSG00000146469,VIP,vasoactive intestinal peptide,6q25.2,7432,6,protein-coding,VIP,vasoactive intestinal peptide,"The protein encoded by this gene belongs to the glucagon family. It stimulates myocardial contractility, causes vasodilation, increases glycogenolysis, lowers arterial blood pressure and relaxes the smooth muscle of trachea, stomach and gall bladder. The protein also acts as an antimicrobial peptide with antibacterial and antifungal activity. Alternative splicing occurs at this locus and two transcript variants encoding distinct isoforms have been identified. [provided by RefSeq, Nov 2014]",Peptide Ligand
1348,ENSG00000115762,ENSG00000115762,PLEKHB2,pleckstrin homology domain containing B2,2q21.1,55041,2,protein-coding,PLEKHB2,pleckstrin homology domain containing B2,NA,Phospholipid Binding
12116,ENSG00000151150,ENSG00000151150,ANK3,ankyrin 3,10q21.2,288,10,protein-coding,ANK3,ankyrin 3,"Ankyrins are a family of proteins that are believed to link the integral membrane proteins to the underlying spectrin-actin cytoskeleton and play key roles in activities such as cell motility, activation, proliferation, contact, and the maintenance of specialized membrane domains. Multiple isoforms of ankyrin with different affinities for various target proteins are expressed in a tissue-specific, developmentally regulated manner. Most ankyrins are typically composed of three structural domains: an amino-terminal domain containing multiple ankyrin repeats; a central region with a highly conserved spectrin binding domain; and a carboxy-terminal regulatory domain which is the least conserved and subject to variation. Ankyrin 3 is an immunologically distinct gene product from ankyrins 1 and 2, and was originally found at the axonal initial segment and nodes of Ranvier of neurons in the central and peripheral nervous systems. Multiple transcript variants encoding different isoforms have been found for this gene.[provided by RefSeq, Feb 2011]",Protein Binding
8287,ENSG00000130203,ENSG00000130203,APOE,apolipoprotein E,19q13.32,348,19,protein-coding,APOE,apolipoprotein E,"The protein encoded by this gene is a major apoprotein of the chylomicron. It binds to a specific liver and peripheral cell receptor, and is essential for the normal catabolism of triglyceride-rich lipoprotein constituents. This gene maps to chromosome 19 in a cluster with the related apolipoprotein C1 and C2 genes. Mutations in this gene result in familial dysbetalipoproteinemia, or type III hyperlipoproteinemia (HLP III), in which increased plasma cholesterol and triglycerides are the consequence of impaired clearance of chylomicron and VLDL remnants. [provided by RefSeq, Jun 2016]",Protein Binding
5180,ENSG00000137486,ENSG00000137486,ARRB1,arrestin beta 1,11q13.4,408,11,protein-coding,ARRB1,arrestin beta 1,"Members of arrestin/beta-arrestin protein family are thought to participate in agonist-mediated desensitization of G-protein-coupled receptors and cause specific dampening of cellular responses to stimuli such as hormones, neurotransmitters, or sensory signals. Arrestin beta 1 is a cytosolic protein and acts as a cofactor in the beta-adrenergic receptor kinase (BARK) mediated desensitization of beta-adrenergic receptors. Besides the central nervous system, it is expressed at high levels in peripheral blood leukocytes, and thus the BARK/beta-arrestin system is believed to play a major role in regulating receptor-mediated immune functions. Alternatively spliced transcripts encoding different isoforms of arrestin beta 1 have been described. [provided by RefSeq, Jan 2011]",Protein Binding
7263,ENSG00000108578,ENSG00000108578,BLMH,bleomycin hydrolase,17q11.2,642,17,protein-coding,BLMH,bleomycin hydrolase,"Bleomycin hydrolase (BMH) is a cytoplasmic cysteine peptidase that is highly conserved through evolution; however, the only known activity of the enzyme is metabolic inactivation of the glycopeptide bleomycin (BLM), an essential component of combination chemotherapy regimens for cancer. The protein contains the signature active site residues of the cysteine protease papain superfamily. [provided by RefSeq, Jul 2008]",Protein Binding
6401,ENSG00000104164,ENSG00000104164,BLOC1S6,biogenesis of lysosomal organelles complex 1 subunit 6,15q21.1,26258,15,protein-coding,BLOC1S6,biogenesis of lysosomal organelles complex 1 subunit 6,"The protein encoded by this gene may play a role in intracellular vesicle trafficking. It interacts with Syntaxin 13 which mediates intracellular membrane fusion. Mutations in this gene cause symptoms associated with Hermansky-Pudlak syndrome-9. Alternative splicing results in multiple transcript variants. A pseudogene related to this gene is located on the X chromosome. [provided by RefSeq, Aug 2015]",Protein Binding
5673,ENSG00000133639,ENSG00000133639,BTG1,BTG anti-proliferation factor 1,12q21.33,694,12,protein-coding,BTG1,BTG anti-proliferation factor 1,"This gene is a member of an anti-proliferative gene family that regulates cell growth and differentiation. Expression of this gene is highest in the G0/G1 phases of the cell cycle and downregulated when cells progressed through G1. The encoded protein interacts with several nuclear receptors, and functions as a coactivator of cell differentiation. This locus has been shown to be involved in a t(8;12)(q24;q22) chromosomal translocation in a case of B-cell chronic lymphocytic leukemia. [provided by RefSeq, Oct 2008]",Protein Binding
12367,ENSG00000089199,ENSG00000089199,CHGB,chromogranin B,20p12.3,1114,20,protein-coding,CHGB,chromogranin B,"This gene encodes a tyrosine-sulfated secretory protein abundant in peptidergic endocrine cells and neurons. This protein may serve as a precursor for regulatory peptides. [provided by RefSeq, Jan 2009]",Protein Binding
13891,ENSG00000100473,ENSG00000100473,COCH,cochlin,14q12,1690,14,protein-coding,COCH,cochlin,"The protein encoded by this gene is highly conserved in human, mouse, and chicken, showing 94% and 79% amino acid identity of human to mouse and chicken sequences, respectively. Hybridization to this gene was detected in spindle-shaped cells located along nerve fibers between the auditory ganglion and sensory epithelium. These cells accompany neurites at the habenula perforata, the opening through which neurites extend to innervate hair cells. This and the pattern of expression of this gene in chicken inner ear paralleled the histologic findings of acidophilic deposits, consistent with mucopolysaccharide ground substance, in temporal bones from DFNA9 (autosomal dominant nonsyndromic sensorineural deafness 9) patients. Mutations that cause DFNA9 have been reported in this gene. Alternative splicing results in multiple transcript variants encoding the same protein. Additional splice variants encoding distinct isoforms have been described but their biological validities have not been demonstrated. [provided by RefSeq, Oct 2008]",Protein Binding
5256,ENSG00000109846,ENSG00000109846,CRYAB,crystallin alpha B,11q23.1,1410,11,protein-coding,CRYAB,crystallin alpha B,"Mammalian lens crystallins are divided into alpha, beta, and gamma families. Alpha crystallins are composed of two gene products: alpha-A and alpha-B, for acidic and basic, respectively. Alpha crystallins can be induced by heat shock and are members of the small heat shock protein (HSP20) family. They act as molecular chaperones although they do not renature proteins and release them in the fashion of a true chaperone; instead they hold them in large soluble aggregates. These heterogeneous aggregates consist of 30-40 subunits; the alpha-A and alpha-B subunits have a 3:1 ratio, respectively. Two additional functions of alpha crystallins are an autokinase activity and participation in the intracellular architecture. The encoded protein has been identified as a moonlighting protein based on its ability to perform mechanistically distinct functions. Alpha-A and alpha-B gene products are differentially expressed; alpha-A is preferentially restricted to the lens and alpha-B is expressed widely in many tissues and organs. Elevated expression of alpha-B crystallin occurs in many neurological diseases; a missense mutation cosegregated in a family with a desmin-related myopathy. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Jan 2019]",Protein Binding
8882,ENSG00000128191,ENSG00000128191,DGCR8,"DGCR8, microprocessor complex subunit",22q11.21,54487,22,protein-coding,DGCR8,DGCR8 microprocessor complex subunit,"This gene encodes a subunit of the microprocessor complex which mediates the biogenesis of microRNAs from the primary microRNA transcript. The encoded protein is a double-stranded RNA binding protein that functions as the non-catalytic subunit of the microprocessor complex. This protein is required for binding the double-stranded RNA substrate and facilitates cleavage of the RNA by the ribonuclease III protein, Drosha. Alternate splicing results in multiple transcript variants. [provided by RefSeq, Jun 2010]",Protein Binding
1038,ENSG00000119772,ENSG00000119772,DNMT3A,DNA methyltransferase 3 alpha,2p23.3,1788,2,protein-coding,DNMT3A,DNA methyltransferase 3 alpha,"CpG methylation is an epigenetic modification that is important for embryonic development, imprinting, and X-chromosome inactivation. Studies in mice have demonstrated that DNA methylation is required for mammalian development. This gene encodes a DNA methyltransferase that is thought to function in de novo methylation, rather than maintenance methylation. The protein localizes to the cytoplasm and nucleus and its expression is developmentally regulated. [provided by RefSeq, Mar 2016]",Protein Binding
13816,ENSG00000104313,ENSG00000104313,EYA1,EYA transcriptional coactivator and phosphatase 1,8q13.3,2138,8,protein-coding,EYA1,EYA transcriptional coactivator and phosphatase 1,"This gene encodes a member of the eyes absent (EYA) family of proteins. The encoded protein may play a role in the developing kidney, branchial arches, eye, and ear. Mutations of this gene have been associated with branchiootorenal dysplasia syndrome, branchiootic syndrome, and sporadic cases of congenital cataracts and ocular anterior segment anomalies. A similar protein in mice can act as a transcriptional activator. Alternatively spliced transcript variants have been identified for this gene. [provided by RefSeq, Dec 2013]",Protein Binding
11077,ENSG00000126803,ENSG00000126803,HSPA2,heat shock protein family A (Hsp70) member 2,14q23.3,3306,14,protein-coding,HSPA2,heat shock protein family A (Hsp70) member 2,NA,Protein Binding
10966,ENSG00000152137,ENSG00000152137,HSPB8,heat shock protein family B (small) member 8,12q24.23,26353,12,protein-coding,HSPB8,heat shock protein family B (small) member 8,"The protein encoded by this gene belongs to the superfamily of small heat-shock proteins containing a conservative alpha-crystallin domain at the C-terminal part of the molecule. The expression of this gene in induced by estrogen in estrogen receptor-positive breast cancer cells, and this protein also functions as a chaperone in association with Bag3, a stimulator of macroautophagy. Thus, this gene appears to be involved in regulation of cell proliferation, apoptosis, and carcinogenesis, and mutations in this gene have been associated with different neuromuscular diseases, including Charcot-Marie-Tooth disease. [provided by RefSeq, Jul 2008]",Protein Binding
9787,ENSG00000115457,ENSG00000115457,IGFBP2,insulin like growth factor binding protein 2,2q35,3485,2,protein-coding,IGFBP2,insulin like growth factor binding protein 2,"The protein encoded by this gene is one of six similar proteins that bind insulin-like growth factors I and II (IGF-I and IGF-II). The encoded protein can be secreted into the bloodstream, where it binds IGF-I and IGF-II with high affinity, or it can remain intracellular, interacting with many different ligands. High expression levels of this protein promote the growth of several types of tumors and may be predictive of the chances of recovery of the patient. Several transcript variants, one encoding a secreted isoform and the others encoding nonsecreted isoforms, have been found for this gene. [provided by RefSeq, Sep 2015]",Protein Binding
14649,ENSG00000152969,ENSG00000152969,JAKMIP1,janus kinase and microtubule interacting protein 1,4p16.1,152789,4,protein-coding,JAKMIP1,janus kinase and microtubule interacting protein 1,NA,Protein Binding
9994,ENSG00000072201,ENSG00000072201,LNX1,ligand of numb-protein X 1,4q12,84708,4,protein-coding,LNX1,ligand of numb-protein X 1,"This gene encodes a membrane-bound protein that is involved in signal transduction and protein interactions. The encoded product is an E3 ubiquitin-protein ligase, which mediates ubiquitination and subsequent proteasomal degradation of proteins containing phosphotyrosine binding (PTB) domains. This protein may play an important role in tumorogenesis. Alternatively spliced transcript variants encoding distinct isoforms have been described. A pseudogene, which is located on chromosome 17, has been identified for this gene. [provided by RefSeq, Jul 2008]",Protein Binding
10443,ENSG00000175445,ENSG00000175445,LPL,lipoprotein lipase,8p21.3,4023,8,protein-coding,LPL,lipoprotein lipase,"LPL encodes lipoprotein lipase, which is expressed in heart, muscle, and adipose tissue. LPL functions as a homodimer, and has the dual functions of triglyceride hydrolase and ligand/bridging factor for receptor-mediated lipoprotein uptake. Severe mutations that cause LPL deficiency result in type I hyperlipoproteinemia, while less extreme mutations in LPL are linked to many disorders of lipoprotein metabolism. [provided by RefSeq, Jul 2008]",Protein Binding
9387,ENSG00000169057,ENSG00000169057,MECP2,methyl-CpG binding protein 2,Xq28,4204,X,protein-coding,MECP2,methyl-CpG binding protein 2,"DNA methylation is the major modification of eukaryotic genomes and plays an essential role in mammalian development. Human proteins MECP2, MBD1, MBD2, MBD3, and MBD4 comprise a family of nuclear proteins related by the presence in each of a methyl-CpG binding domain (MBD). Each of these proteins, with the exception of MBD3, is capable of binding specifically to methylated DNA. MECP2, MBD1 and MBD2 can also repress transcription from methylated gene promoters. In contrast to other MBD family members, MECP2 is X-linked and subject to X inactivation. MECP2 is dispensible in stem cells, but is essential for embryonic development. MECP2 gene mutations are the cause of most cases of Rett syndrome, a progressive neurologic developmental disorder and one of the most common causes of cognitive disability in females. Alternative splicing results in multiple transcript variants encoding different isoforms. [provided by RefSeq, Oct 2015]",Protein Binding
13813,ENSG00000104722,ENSG00000104722,NEFM,neurofilament medium,8p21.2,4741,8,protein-coding,NEFM,neurofilament medium,"Neurofilaments are type IV intermediate filament heteropolymers composed of light, medium, and heavy chains. Neurofilaments comprise the axoskeleton and functionally maintain neuronal caliber. They may also play a role in intracellular transport to axons and dendrites. This gene encodes the medium neurofilament protein. This protein is commonly used as a biomarker of neuronal damage. Alternative splicing results in multiple transcript variants encoding distinct isoforms. [provided by RefSeq, Oct 2008]",Protein Binding
9571,ENSG00000132688,ENSG00000132688,NES,nestin,1q23.1,10763,1,protein-coding,NES,nestin,"This gene encodes a member of the intermediate filament protein family and is expressed primarily in nerve cells. [provided by RefSeq, Sep 2011]",Protein Binding
14531,ENSG00000198929,ENSG00000198929,NOS1AP,nitric oxide synthase 1 adaptor protein,1q23.3,9722,1,protein-coding,NOS1AP,nitric oxide synthase 1 adaptor protein,"This gene encodes a cytosolic protein that binds to the signaling molecule, neuronal nitric oxide synthase (nNOS). This protein has a C-terminal PDZ-binding domain that mediates interactions with nNOS and an N-terminal phosphotyrosine binding (PTB) domain that binds to the small monomeric G protein, Dexras1. Studies of the related mouse and rat proteins have shown that this protein functions as an adapter protein linking nNOS to specific targets, such as Dexras1 and the synapsins. Alternative splicing results in multiple transcript variants encoding different isoforms. [provided by RefSeq, Sep 2009]",Protein Binding
10427,ENSG00000164867,ENSG00000164867,NOS3,nitric oxide synthase 3,7q36.1,4846,7,protein-coding,NOS3,nitric oxide synthase 3,"Nitric oxide is a reactive free radical which acts as a biologic mediator in several processes, including neurotransmission and antimicrobial and antitumoral activities. Nitric oxide is synthesized from L-arginine by nitric oxide synthases. Variations in this gene are associated with susceptibility to coronary spasm. Alternative splicing and the use of alternative promoters results in multiple transcript variants. [provided by RefSeq, Oct 2016]",Protein Binding
4678,ENSG00000076685,ENSG00000076685,NT5C2,"5'-nucleotidase, cytosolic II",10q24.32-q24.33,22978,10,protein-coding,NT5C2,"5'-nucleotidase, cytosolic II","This gene encodes a hydrolase that serves as an important role in cellular purine metabolism by acting primarily on inosine 5'-monophosphate and other purine nucleotides. [provided by RefSeq, Oct 2011]",Protein Binding
2580,ENSG00000145730,ENSG00000145730,PAM,peptidylglycine alpha-amidating monooxygenase,5q21.1,5066,5,protein-coding,PAM,peptidylglycine alpha-amidating monooxygenase,"This gene encodes a multifunctional protein. The encoded preproprotein is proteolytically processed to generate the mature enzyme. This enzyme includes two domains with distinct catalytic activities, a peptidylglycine alpha-hydroxylating monooxygenase (PHM) domain and a peptidyl-alpha-hydroxyglycine alpha-amidating lyase (PAL) domain. These catalytic domains work sequentially to catalyze the conversion of neuroendocrine peptides to active alpha-amidated products. Alternative splicing results in multiple transcript variants, at least one of which encodes an isoform that is proteolytically processed. [provided by RefSeq, Jan 2016]",Protein Binding
3233,ENSG00000112419,ENSG00000112419,PHACTR2,phosphatase and actin regulator 2,6q24.2,9749,6,protein-coding,PHACTR2,phosphatase and actin regulator 2,NA,Protein Binding
147,ENSG00000158828,ENSG00000158828,PINK1,PTEN induced kinase 1,1p36.12,65018,1,protein-coding,PINK1,PTEN induced kinase 1,"This gene encodes a serine/threonine protein kinase that localizes to mitochondria. It is thought to protect cells from stress-induced mitochondrial dysfunction. Mutations in this gene cause one form of autosomal recessive early-onset Parkinson disease. [provided by RefSeq, Jul 2008]",Protein Binding
8084,ENSG00000130300,ENSG00000130300,PLVAP,plasmalemma vesicle associated protein,19p13.11,83483,19,protein-coding,PLVAP,plasmalemma vesicle associated protein,NA,Protein Binding
1830,ENSG00000163932,ENSG00000163932,PRKCD,protein kinase C delta,3p21.1,5580,3,protein-coding,PRKCD,protein kinase C delta,"The protein encoded by this gene is a member of the protein kinase C family of serine- and threonine-specific protein kinases. The encoded protein is activated by diacylglycerol and is both a tumor suppressor and a positive regulator of cell cycle progression. Also, this protein can positively or negatively regulate apoptosis. Defects in this gene are a cause of autoimmune lymphoproliferative syndrome. [provided by RefSeq, Aug 2017]",Protein Binding
8528,ENSG00000171867,ENSG00000171867,PRNP,prion protein,20p13,5621,20,protein-coding,PRNP,prion protein,"The protein encoded by this gene is a membrane glycosylphosphatidylinositol-anchored glycoprotein that tends to aggregate into rod-like structures. The encoded protein contains a highly unstable region of five tandem octapeptide repeats. This gene is found on chromosome 20, approximately 20 kbp upstream of a gene which encodes a biochemically and structurally similar protein to the one encoded by this gene. Mutations in the repeat region as well as elsewhere in this gene have been associated with Creutzfeldt-Jakob disease, fatal familial insomnia, Gerstmann-Straussler disease, Huntington disease-like 1, and kuru. An overlapping open reading frame has been found for this gene that encodes a smaller, structurally unrelated protein, AltPrp. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Nov 2014]",Protein Binding
4060,ENSG00000137154,ENSG00000137154,RPS6,ribosomal protein S6,9p22.1,6194,9,protein-coding,RPS6,ribosomal protein S6,"Ribosomes, the organelles that catalyze protein synthesis, consist of a small 40S subunit and a large 60S subunit. Together these subunits are composed of 4 RNA species and approximately 80 structurally distinct proteins. This gene encodes a cytoplasmic ribosomal protein that is a component of the 40S subunit. The protein belongs to the S6E family of ribosomal proteins. It is the major substrate of protein kinases in the ribosome, with subsets of five C-terminal serine residues phosphorylated by different protein kinases. Phosphorylation is induced by a wide range of stimuli, including growth factors, tumor-promoting agents, and mitogens. Dephosphorylation occurs at growth arrest. The protein may contribute to the control of cell growth and proliferation through the selective translation of particular classes of mRNA. As is typical for genes encoding ribosomal proteins, there are multiple processed pseudogenes of this gene dispersed through the genome. [provided by RefSeq, Jul 2008]",Protein Binding
11587,ENSG00000160307,ENSG00000160307,S100B,S100 calcium binding protein B,21q22.3,6285,21,protein-coding,S100B,S100 calcium binding protein B,"The protein encoded by this gene is a member of the S100 family of proteins containing 2 EF-hand calcium-binding motifs. S100 proteins are localized in the cytoplasm and/or nucleus of a wide range of cells, and involved in the regulation of a number of cellular processes such as cell cycle progression and differentiation. S100 genes include at least 13 members which are located as a cluster on chromosome 1q21; however, this gene is located at 21q22.3. This protein may function in Neurite extension, proliferation of melanoma cells, stimulation of Ca2+ fluxes, inhibition of PKC-mediated phosphorylation, astrocytosis and axonal proliferation, and inhibition of microtubule assembly. Chromosomal rearrangements and altered expression of this gene have been implicated in several neurological, neoplastic, and other types of diseases, including Alzheimer's disease, Down's syndrome, epilepsy, amyotrophic lateral sclerosis, melanoma, and type I diabetes. [provided by RefSeq, Jul 2008]",Protein Binding
